['./solve_sudoku.py', 'rows.cnf']
Iterations: 226, satisfied = 3008, out of 3078 
Iterations: 227, satisfied = 3010, out of 3078 
Iterations: 228, satisfied = 3011, out of 3078 
Iterations: 229, satisfied = 3012, out of 3078 
Iterations: 230, satisfied = 3013, out of 3078 
Iterations: 231, satisfied = 3014, out of 3078 
Iterations: 232, satisfied = 3015, out of 3078 
Iterations: 233, satisfied = 3017, out of 3078 
Iterations: 234, satisfied = 3018, out of 3078 
Iterations: 235, satisfied = 3019, out of 3078 
Iterations: 236, satisfied = 3019, out of 3078 
Iterations: 237, satisfied = 3021, out of 3078 
Iterations: 238, satisfied = 3022, out of 3078 
Iterations: 239, satisfied = 3024, out of 3078 
Iterations: 240, satisfied = 3024, out of 3078 
Iterations: 241, satisfied = 3026, out of 3078 
Iterations: 242, satisfied = 3027, out of 3078 
Iterations: 243, satisfied = 3028, out of 3078 
Iterations: 244, satisfied = 3029, out of 3078 
Iterations: 245, satisfied = 3030, out of 3078 
Iterations: 246, satisfied = 3031, out of 3078 
Iterations: 247, satisfied = 3031, out of 3078 
Iterations: 248, satisfied = 3031, out of 3078 
Iterations: 249, satisfied = 3032, out of 3078 
Iterations: 250, satisfied = 3032, out of 3078 
Iterations: 251, satisfied = 3033, out of 3078 
Iterations: 252, satisfied = 3034, out of 3078 
Iterations: 253, satisfied = 3035, out of 3078 
Iterations: 254, satisfied = 3036, out of 3078 
Iterations: 255, satisfied = 3037, out of 3078 
Iterations: 256, satisfied = 3038, out of 3078 
Iterations: 257, satisfied = 3040, out of 3078 
Iterations: 258, satisfied = 3041, out of 3078 
Iterations: 259, satisfied = 3042, out of 3078 
Iterations: 260, satisfied = 3043, out of 3078 
Iterations: 261, satisfied = 3044, out of 3078 
Iterations: 262, satisfied = 3044, out of 3078 
Iterations: 263, satisfied = 3045, out of 3078 
Iterations: 264, satisfied = 3046, out of 3078 
Iterations: 265, satisfied = 3047, out of 3078 
Iterations: 266, satisfied = 3048, out of 3078 
Iterations: 267, satisfied = 3048, out of 3078 
Iterations: 268, satisfied = 3050, out of 3078 
Iterations: 269, satisfied = 3050, out of 3078 
Iterations: 270, satisfied = 3050, out of 3078 
Iterations: 271, satisfied = 3051, out of 3078 
Iterations: 272, satisfied = 3051, out of 3078 
Iterations: 273, satisfied = 3051, out of 3078 
Iterations: 274, satisfied = 3051, out of 3078 
Iterations: 275, satisfied = 3052, out of 3078 
Iterations: 276, satisfied = 3053, out of 3078 
Iterations: 277, satisfied = 3054, out of 3078 
Iterations: 278, satisfied = 3054, out of 3078 
Iterations: 279, satisfied = 3055, out of 3078 
Iterations: 280, satisfied = 3055, out of 3078 
Iterations: 281, satisfied = 3055, out of 3078 
Iterations: 282, satisfied = 3055, out of 3078 
Iterations: 283, satisfied = 3055, out of 3078 
Iterations: 284, satisfied = 3055, out of 3078 
Iterations: 285, satisfied = 3055, out of 3078 
Iterations: 286, satisfied = 3056, out of 3078 
Iterations: 287, satisfied = 3057, out of 3078 
Iterations: 288, satisfied = 3057, out of 3078 
Iterations: 289, satisfied = 3057, out of 3078 
Iterations: 290, satisfied = 3057, out of 3078 
Iterations: 291, satisfied = 3057, out of 3078 
Iterations: 292, satisfied = 3058, out of 3078 
Iterations: 293, satisfied = 3058, out of 3078 
Iterations: 294, satisfied = 3058, out of 3078 
Iterations: 295, satisfied = 3058, out of 3078 
Iterations: 296, satisfied = 3059, out of 3078 
Iterations: 297, satisfied = 3059, out of 3078 
Iterations: 298, satisfied = 3059, out of 3078 
Iterations: 299, satisfied = 3059, out of 3078 
Iterations: 300, satisfied = 3059, out of 3078 
Iterations: 301, satisfied = 3059, out of 3078 
Iterations: 302, satisfied = 3060, out of 3078 
Iterations: 303, satisfied = 3060, out of 3078 
Iterations: 304, satisfied = 3061, out of 3078 
Iterations: 305, satisfied = 3062, out of 3078 
Iterations: 306, satisfied = 3062, out of 3078 
Iterations: 307, satisfied = 3063, out of 3078 
Iterations: 308, satisfied = 3063, out of 3078 
Iterations: 309, satisfied = 3063, out of 3078 
Iterations: 310, satisfied = 3063, out of 3078 
Iterations: 311, satisfied = 3064, out of 3078 
Iterations: 312, satisfied = 3064, out of 3078 
Iterations: 313, satisfied = 3064, out of 3078 
Iterations: 314, satisfied = 3065, out of 3078 
Iterations: 315, satisfied = 3065, out of 3078 
Iterations: 316, satisfied = 3066, out of 3078 
