['./solve_sudoku.py', 'all_cells.cnf']
Iterations: 180, satisfied = 2855, out of 2997 
Iterations: 181, satisfied = 2857, out of 2997 
Iterations: 182, satisfied = 2859, out of 2997 
Iterations: 183, satisfied = 2860, out of 2997 
Iterations: 184, satisfied = 2861, out of 2997 
Iterations: 185, satisfied = 2862, out of 2997 
Iterations: 186, satisfied = 2863, out of 2997 
Iterations: 187, satisfied = 2865, out of 2997 
Iterations: 188, satisfied = 2867, out of 2997 
Iterations: 189, satisfied = 2869, out of 2997 
Iterations: 190, satisfied = 2871, out of 2997 
Iterations: 191, satisfied = 2872, out of 2997 
Iterations: 192, satisfied = 2875, out of 2997 
Iterations: 193, satisfied = 2878, out of 2997 
Iterations: 194, satisfied = 2880, out of 2997 
Iterations: 195, satisfied = 2882, out of 2997 
Iterations: 196, satisfied = 2884, out of 2997 
Iterations: 197, satisfied = 2886, out of 2997 
Iterations: 198, satisfied = 2888, out of 2997 
Iterations: 199, satisfied = 2890, out of 2997 
Iterations: 200, satisfied = 2891, out of 2997 
Iterations: 201, satisfied = 2892, out of 2997 
Iterations: 202, satisfied = 2894, out of 2997 
Iterations: 203, satisfied = 2896, out of 2997 
Iterations: 204, satisfied = 2898, out of 2997 
Iterations: 205, satisfied = 2901, out of 2997 
Iterations: 206, satisfied = 2902, out of 2997 
Iterations: 207, satisfied = 2904, out of 2997 
Iterations: 208, satisfied = 2906, out of 2997 
Iterations: 209, satisfied = 2908, out of 2997 
Iterations: 210, satisfied = 2911, out of 2997 
Iterations: 211, satisfied = 2913, out of 2997 
Iterations: 212, satisfied = 2915, out of 2997 
Iterations: 213, satisfied = 2917, out of 2997 
Iterations: 214, satisfied = 2918, out of 2997 
Iterations: 215, satisfied = 2920, out of 2997 
Iterations: 216, satisfied = 2922, out of 2997 
Iterations: 217, satisfied = 2923, out of 2997 
Iterations: 218, satisfied = 2925, out of 2997 
Iterations: 219, satisfied = 2926, out of 2997 
Iterations: 220, satisfied = 2927, out of 2997 
Iterations: 221, satisfied = 2928, out of 2997 
Iterations: 222, satisfied = 2929, out of 2997 
Iterations: 223, satisfied = 2930, out of 2997 
Iterations: 224, satisfied = 2931, out of 2997 
Iterations: 225, satisfied = 2932, out of 2997 
Iterations: 226, satisfied = 2933, out of 2997 
Iterations: 227, satisfied = 2935, out of 2997 
Iterations: 228, satisfied = 2936, out of 2997 
Iterations: 229, satisfied = 2937, out of 2997 
Iterations: 230, satisfied = 2938, out of 2997 
Iterations: 231, satisfied = 2939, out of 2997 
Iterations: 232, satisfied = 2940, out of 2997 
Iterations: 233, satisfied = 2942, out of 2997 
Iterations: 234, satisfied = 2944, out of 2997 
Iterations: 235, satisfied = 2945, out of 2997 
Iterations: 236, satisfied = 2946, out of 2997 
Iterations: 237, satisfied = 2947, out of 2997 
Iterations: 238, satisfied = 2950, out of 2997 
Iterations: 239, satisfied = 2951, out of 2997 
Iterations: 240, satisfied = 2952, out of 2997 
Iterations: 241, satisfied = 2953, out of 2997 
Iterations: 242, satisfied = 2954, out of 2997 
Iterations: 243, satisfied = 2955, out of 2997 
Iterations: 244, satisfied = 2956, out of 2997 
Iterations: 245, satisfied = 2957, out of 2997 
Iterations: 246, satisfied = 2958, out of 2997 
Iterations: 247, satisfied = 2959, out of 2997 
Iterations: 248, satisfied = 2960, out of 2997 
Iterations: 249, satisfied = 2962, out of 2997 
Iterations: 250, satisfied = 2964, out of 2997 
Iterations: 251, satisfied = 2965, out of 2997 
Iterations: 252, satisfied = 2967, out of 2997 
Iterations: 253, satisfied = 2968, out of 2997 
Iterations: 254, satisfied = 2970, out of 2997 
Iterations: 255, satisfied = 2971, out of 2997 
Iterations: 256, satisfied = 2972, out of 2997 
Iterations: 257, satisfied = 2973, out of 2997 
Iterations: 258, satisfied = 2974, out of 2997 
Iterations: 259, satisfied = 2975, out of 2997 
Iterations: 260, satisfied = 2976, out of 2997 
Iterations: 261, satisfied = 2977, out of 2997 
Iterations: 262, satisfied = 2978, out of 2997 
Iterations: 263, satisfied = 2979, out of 2997 
Iterations: 264, satisfied = 2980, out of 2997 
Iterations: 265, satisfied = 2981, out of 2997 
Iterations: 266, satisfied = 2982, out of 2997 
Iterations: 267, satisfied = 2983, out of 2997 
Iterations: 268, satisfied = 2984, out of 2997 
Iterations: 269, satisfied = 2985, out of 2997 
Iterations: 270, satisfied = 2986, out of 2997 
Iterations: 271, satisfied = 2987, out of 2997 
Iterations: 272, satisfied = 2988, out of 2997 
Iterations: 273, satisfied = 2989, out of 2997 
Iterations: 274, satisfied = 2990, out of 2997 
Iterations: 275, satisfied = 2991, out of 2997 
Iterations: 276, satisfied = 2992, out of 2997 
Iterations: 277, satisfied = 2993, out of 2997 
Iterations: 278, satisfied = 2994, out of 2997 
Iterations: 279, satisfied = 2995, out of 2997 
Iterations: 280, satisfied = 2996, out of 2997 
Iterations: 281, satisfied = 2997, out of 2997 
Loaded Sudoku solution from file: all_cells.sol 
7 5 7 | 3 6 9 | 4 2 6 
5 8 5 | 3 6 1 | 1 4 3 
3 8 4 | 2 7 9 | 7 8 9 
---------------------
1 4 7 | 6 1 9 | 2 7 5 
5 9 9 | 8 6 9 | 8 3 9 
3 1 4 | 6 5 9 | 3 4 5 
---------------------
7 8 7 | 3 7 9 | 4 7 5 
1 9 9 | 1 1 3 | 3 4 5 
